Match,Team,Position,Batsmen,Link,Dismissal,Runs,Balls,Fours,Sixes,Strike Rate
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438, b Cottrell,6,6,0,1,100.00
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Pooran b Holder,4,5,1,0,80.00
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Bravo b Cottrell,14,12,2,1,116.66
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Allen b Holder,0,1,0,0,0.00
England vs West Indies,England,5,Eoin Morgan,https://www.espncricinfo.com//player/eoin-morgan-24598,c Pollard b Shepherd,17,29,0,1,58.62
England vs West Indies,England,6,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,st †Hope b Hosein,2,4,0,0,50.00
England vs West Indies,England,7,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,run out (Pollard/†Hope),2,9,0,0,22.22
England vs West Indies,England,8,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,c Cottrell b Allen,28,23,0,3,121.73
England vs West Indies,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497, b Holder,22,18,3,0,122.22
England vs West Indies,England,10,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,c Allen b Holder,5,11,0,0,45.45
England vs West Indies,England,11,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,not out ,0,0,0,0,-
England vs West Indies,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,not out ,52,49,4,1,106.12
England vs West Indies,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,st †Billings b Rashid,20,25,2,0,80.00
England vs West Indies,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,not out ,27,29,2,0,93.10
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c Pollard b Shepherd,45,31,6,2,145.16
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c & b Allen,25,18,3,1,138.88
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597, b Allen,4,4,1,0,100.00
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Cottrell b Pollard,31,24,3,1,129.16
England vs West Indies,England,5,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,c Cottrell b Hosein,5,7,1,0,71.42
England vs West Indies,England,6,Eoin Morgan,https://www.espncricinfo.com//player/eoin-morgan-24598,c King b Holder,13,12,2,0,108.33
England vs West Indies,England,7,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,c Holder b Cottrell,27,15,2,1,180.00
England vs West Indies,England,8,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,c Allen b Holder,4,2,1,0,200.00
England vs West Indies,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,not out ,2,3,0,0,66.66
England vs West Indies,England,10,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,not out ,7,4,1,0,175.00
England vs West Indies,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,lbw b Topley,0,1,0,0,0.00
England vs West Indies,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,run out (Topley),2,9,0,0,22.22
England vs West Indies,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,c Vince b Ali,24,22,3,1,109.09
England vs West Indies,West Indies,4,Darren Bravo,https://www.espncricinfo.com//player/darren-bravo-277472,lbw b Rashid,23,20,1,1,115.00
England vs West Indies,West Indies,5,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,lbw b Rashid,1,4,0,0,25.00
England vs West Indies,West Indies,6,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,c & b Ali,1,6,0,0,16.66
England vs West Indies,West Indies,7,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,not out ,44,28,1,5,157.14
England vs West Indies,West Indies,8,Odean Smith,https://www.espncricinfo.com//player/odean-smith-820691,c Vince b Ali,7,3,0,1,233.33
England vs West Indies,West Indies,9,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,c Banton b Jordan,12,11,0,1,109.09
England vs West Indies,West Indies,10,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,not out ,44,16,3,4,275.00
West Indies vs England,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035, b Garton,10,10,2,0,100.00
West Indies vs England,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,c †Banton b Livingstone,4,6,0,0,66.66
West Indies vs England,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,c Livingstone b Rashid,70,43,4,5,162.79
West Indies vs England,West Indies,4,Rovman Powell,https://www.espncricinfo.com//player/rovman-powell-820351,c Livingstone b Topley,107,53,4,10,201.88
West Indies vs England,West Indies,5,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,not out ,11,5,0,1,220.00
West Indies vs England,West Indies,6,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,c †Banton b Mills,0,1,0,0,0.00
West Indies vs England,West Indies,7,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,not out ,9,4,2,0,225.00
West Indies vs England,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c Holder b Shepherd,19,16,0,2,118.75
West Indies vs England,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Holder b Pollard,73,39,3,6,187.17
West Indies vs England,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Pollard b Hosein,16,9,1,1,177.77
West Indies vs England,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Powell b Pollard,0,2,0,0,0.00
West Indies vs England,England,5,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,c Hosein b Shepherd,11,9,0,1,122.22
West Indies vs England,England,6,Phil Salt,https://www.espncricinfo.com//player/phil-salt-669365, b Shepherd,57,24,3,5,237.50
West Indies vs England,England,7,Harry Brook,https://www.espncricinfo.com//player/harry-brook-911707,c Powell b Holder,10,13,0,0,76.92
West Indies vs England,England,8,George Garton,https://www.espncricinfo.com//player/george-garton-643433, b Cottrell,2,4,0,0,50.00
West Indies vs England,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,run out (†Hope/Cottrell),1,1,0,0,100.00
West Indies vs England,England,10,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,not out ,1,1,0,0,100.00
West Indies vs England,England,11,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,not out ,2,2,0,0,100.00
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c †Pooran b Pollard,52,42,5,3,123.80
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Mayers b Holder,4,4,1,0,100.00
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Mayers b Hosein,34,26,2,2,130.76
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Shepherd b Holder,63,28,1,7,225.00
England vs West Indies,England,5,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,c King b Shepherd,16,15,0,1,106.66
England vs West Indies,England,6,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,not out ,13,4,0,2,325.00
England vs West Indies,England,7,Phil Salt,https://www.espncricinfo.com//player/phil-salt-669365,c King b Holder,0,1,0,0,0.00
England vs West Indies,England,8,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,not out ,0,0,0,0,-
England vs West Indies,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,c Salt b Ali,26,27,4,0,96.29
England vs West Indies,West Indies,2,Kyle Mayers,https://www.espncricinfo.com//player/kyle-mayers-348056,c Jordan b Ali,40,23,2,4,173.91
England vs West Indies,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,c Roy b Livingstone,22,16,0,2,137.50
England vs West Indies,West Indies,4,Rovman Powell,https://www.espncricinfo.com//player/rovman-powell-820351, b Rashid,5,6,0,0,83.33
England vs West Indies,West Indies,5,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,c Jordan b Topley,36,24,2,3,150.00
England vs West Indies,West Indies,6,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,not out ,18,16,2,0,112.50
England vs West Indies,West Indies,7,Darren Bravo,https://www.espncricinfo.com//player/darren-bravo-277472,not out ,3,8,0,0,37.50
West Indies vs England,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,c Jordan b Livingstone,34,31,2,2,109.67
West Indies vs England,West Indies,2,Kyle Mayers,https://www.espncricinfo.com//player/kyle-mayers-348056,c Salt b Rashid,31,19,3,2,163.15
West Indies vs England,West Indies,3,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,c Mahmood b Livingstone,6,5,0,1,120.00
West Indies vs England,West Indies,4,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302, b Rashid,21,24,0,1,87.50
West Indies vs England,West Indies,5,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,not out ,41,25,1,2,164.00
West Indies vs England,West Indies,6,Rovman Powell,https://www.espncricinfo.com//player/rovman-powell-820351,not out ,35,17,1,4,205.88
West Indies vs England,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c †Pooran b Hosein,8,5,2,0,160.00
West Indies vs England,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Holder b Smith,16,12,2,1,133.33
West Indies vs England,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Allen b Hosein,55,35,7,1,157.14
West Indies vs England,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Mayers b Holder,14,19,0,0,73.68
West Indies vs England,England,5,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,c Smith b Hosein,6,4,1,0,150.00
West Indies vs England,England,6,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,c sub (HR Walsh) b Holder,41,28,1,2,146.42
West Indies vs England,England,7,Phil Salt,https://www.espncricinfo.com//player/phil-salt-669365,st †Pooran b Hosein,3,6,0,0,50.00
West Indies vs England,England,8,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,c sub (HR Walsh) b Holder,7,10,1,0,70.00
West Indies vs England,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,c Smith b Holder,0,1,0,0,0.00
West Indies vs England,England,10,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885, b Holder,0,1,0,0,0.00
West Indies vs England,England,11,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,not out ,0,0,0,0,-
Australia vs Sri Lanka,Australia,1,Aaron Finch,https://www.espncricinfo.com//player/aaron-finch-5334, b de Silva,8,12,0,0,66.66
Australia vs Sri Lanka,Australia,2,Ben McDermott,https://www.espncricinfo.com//player/ben-mcdermott-603410,lbw b Karunaratne,53,41,2,3,129.26
Australia vs Sri Lanka,Australia,3,Josh Inglis,https://www.espncricinfo.com//player/josh-inglis-662235, b Karunaratne,23,18,3,0,127.77
Australia vs Sri Lanka,Australia,4,Glenn Maxwell,https://www.espncricinfo.com//player/glenn-maxwell-325026,c Karunaratne b de Silva,7,5,1,0,140.00
Australia vs Sri Lanka,Australia,5,Steven Smith,https://www.espncricinfo.com//player/steven-smith-267192, b de Silva,9,8,1,0,112.50
Australia vs Sri Lanka,Australia,6,Marcus Stoinis,https://www.espncricinfo.com//player/marcus-stoinis-325012, b B Fernando,30,17,2,2,176.47
Australia vs Sri Lanka,Australia,7,Matthew Wade,https://www.espncricinfo.com//player/matthew-wade-230193,c Shanaka b B Fernando,4,5,0,0,80.00
Australia vs Sri Lanka,Australia,8,Pat Cummins,https://www.espncricinfo.com//player/pat-cummins-489889,c Karunaratne b Chameera,2,3,0,0,66.66
Australia vs Sri Lanka,Australia,9,Mitchell Starc,https://www.espncricinfo.com//player/mitchell-starc-311592, b Chameera,1,3,0,0,33.33
Australia vs Sri Lanka,Australia,10,Adam Zampa,https://www.espncricinfo.com//player/adam-zampa-379504,not out ,2,6,0,0,33.33
Australia vs Sri Lanka,Australia,11,Josh Hazlewood,https://www.espncricinfo.com//player/josh-hazlewood-288284,not out ,2,2,0,0,100.00
Australia vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,https://www.espncricinfo.com//player/pathum-nissanka-1028655,c Starc b Zampa,36,37,5,1,97.29
Australia vs Sri Lanka,Sri Lanka,2,Danushka Gunathilaka,https://www.espncricinfo.com//player/danushka-gunathilaka-345821,c Stoinis b Hazlewood,1,5,0,0,20.00
Australia vs Sri Lanka,Sri Lanka,3,Avishka Fernando,https://www.espncricinfo.com//player/avishka-fernando-784369,c †Wade b Cummins,6,3,0,1,200.00
Australia vs Sri Lanka,Sri Lanka,4,Charith Asalanka,https://www.espncricinfo.com//player/charith-asalanka-784367,c Smith b Zampa,16,19,2,0,84.21
Australia vs Sri Lanka,Sri Lanka,5,Wanindu Hasaranga de Silva,https://www.espncricinfo.com//player/wanindu-hasaranga-de-silva-784379,c Smith b Zampa,13,11,1,0,118.18
Australia vs Sri Lanka,Sri Lanka,6,Dasun Shanaka,https://www.espncricinfo.com//player/dasun-shanaka-437316,c Finch b Hazlewood,7,13,0,0,53.84
Australia vs Sri Lanka,Sri Lanka,7,Dinesh Chandimal,https://www.espncricinfo.com//player/dinesh-chandimal-300628,not out ,25,16,3,1,156.25
Australia vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,https://www.espncricinfo.com//player/chamika-karunaratne-623695,c & b Hazlewood,0,2,0,0,0.00
Australia vs Sri Lanka,Sri Lanka,9,Dushmantha Chameera,https://www.espncricinfo.com//player/dushmantha-chameera-552152,c McDermott b Hazlewood,5,6,0,0,83.33
Australia vs Sri Lanka,Sri Lanka,10,Binura Fernando,https://www.espncricinfo.com//player/binura-fernando-629080,not out ,2,2,0,0,100.00
Oman vs Nepal,Oman,1,Kashyap Prajapati,https://www.espncricinfo.com//player/kashyap-prajapati-1276719, b Bohara,11,11,2,0,100.00
Oman vs Nepal,Oman,2,Jatinder Singh,https://www.espncricinfo.com//player/jatinder-singh-307756,c †Aasif Sheikh b Aarif Sheikh,13,8,3,0,162.50
Oman vs Nepal,Oman,3,Shoaib Khan,https://www.espncricinfo.com//player/shoaib-khan-1276700,c †Aasif Sheikh b Lamichhane,11,13,1,0,84.61
Oman vs Nepal,Oman,4,Ayaan Khan,https://www.espncricinfo.com//player/ayaan-khan-956319,c †Aasif Sheikh b KS Airee,11,9,2,0,122.22
Oman vs Nepal,Oman,5,Zeeshan Maqsood,https://www.espncricinfo.com//player/zeeshan-maqsood-585083,not out ,43,41,4,1,104.87
Oman vs Nepal,Oman,6,Mohammad Nadeem,https://www.espncricinfo.com//player/mohammad-nadeem-41984,c Vesawkar b Bohara,31,30,2,0,103.33
Oman vs Nepal,Oman,7,Naseem Khushi,https://www.espncricinfo.com//player/naseem-khushi-1077310,c Vesawkar b Bohara,0,2,0,0,0.00
Oman vs Nepal,Oman,8,Khurram Nawaz,https://www.espncricinfo.com//player/khurram-nawaz-1077309,not out ,6,7,0,0,85.71
Oman vs Nepal,Nepal,1,Pradeep Airee,https://www.espncricinfo.com//player/pradeep-airee-446808,c †Naseem Khushi b Kaleemullah,4,14,0,0,28.57
Oman vs Nepal,Nepal,2,Aasif Sheikh,https://www.espncricinfo.com//player/aasif-sheikh-1058514,c Shoaib Khan b Kaleemullah,14,11,2,0,127.27
Oman vs Nepal,Nepal,3,Gyanendra Malla,https://www.espncricinfo.com//player/gyanendra-malla-233400,run out (Ayaan Khan),13,16,0,0,81.25
Oman vs Nepal,Nepal,4,Dipendra Singh Airee,https://www.espncricinfo.com//player/dipendra-singh-airee-794707,not out ,73,53,8,1,137.73
Oman vs Nepal,Nepal,5,Aarif Sheikh,https://www.espncricinfo.com//player/aarif-sheikh-701217,c Khurram Nawaz b Khawar Ali,25,20,3,0,125.00
Oman vs Nepal,Nepal,6,Sharad Vesawkar,https://www.espncricinfo.com//player/sharad-vesawkar-25977,not out ,4,4,0,0,100.00
United Arab Emirates vs Nepal,United Arab Emirates,1,Muhammad Waseem,https://www.espncricinfo.com//player/muhammad-waseem-1241277,c DS Airee b Shahab Alam,22,13,1,2,169.23
United Arab Emirates vs Nepal,United Arab Emirates,2,Chirag Suri,https://www.espncricinfo.com//player/chirag-suri-534734,not out ,84,53,5,5,158.49
United Arab Emirates vs Nepal,United Arab Emirates,3,Rohan Mustafa,https://www.espncricinfo.com//player/rohan-mustafa-307808,st †Aasif Sheikh b Aarif Sheikh,49,35,5,2,140.00
United Arab Emirates vs Nepal,United Arab Emirates,4,Basil Hameed,https://www.espncricinfo.com//player/basil-hameed-1209110, b Lamichhane,17,11,2,0,154.54
United Arab Emirates vs Nepal,United Arab Emirates,5,Mohammad Boota,https://www.espncricinfo.com//player/mohammad-boota-1125867,not out ,14,8,1,1,175.00
United Arab Emirates vs Nepal,Nepal,1,Gyanendra Malla,https://www.espncricinfo.com//player/gyanendra-malla-233400,c Muhammad Waseem b Kashif Daud,22,19,2,1,115.78
United Arab Emirates vs Nepal,Nepal,2,Aasif Sheikh,https://www.espncricinfo.com//player/aasif-sheikh-1058514,c & b Rohan Mustafa,34,29,4,1,117.24
United Arab Emirates vs Nepal,Nepal,3,Dipendra Singh Airee,https://www.espncricinfo.com//player/dipendra-singh-airee-794707,c †Mohammad Boota b Junaid Siddique,41,33,5,0,124.24
United Arab Emirates vs Nepal,Nepal,4,Aarif Sheikh,https://www.espncricinfo.com//player/aarif-sheikh-701217,c Muhammad Waseem b Rohan Mustafa,11,12,0,0,91.66
United Arab Emirates vs Nepal,Nepal,5,Lokesh Bam,https://www.espncricinfo.com//player/lokesh-bam-1090625,c Ahmed Raza b Kashif Daud,33,21,2,2,157.14
United Arab Emirates vs Nepal,Nepal,6,Sharad Vesawkar,https://www.espncricinfo.com//player/sharad-vesawkar-25977,not out ,10,8,1,0,125.00
Oman vs Ireland,Oman,1,Kashyap Prajapati,https://www.espncricinfo.com//player/kashyap-prajapati-1276719, b Adair,0,3,0,0,0.00
Oman vs Ireland,Oman,2,Jatinder Singh,https://www.espncricinfo.com//player/jatinder-singh-307756,c Getkate b Young,2,6,0,0,33.33
Oman vs Ireland,Oman,3,Shoaib Khan,https://www.espncricinfo.com//player/shoaib-khan-1276700,c Simi Singh b Young,57,38,9,0,150.00
Oman vs Ireland,Oman,4,Ayaan Khan,https://www.espncricinfo.com//player/ayaan-khan-956319,c Young b Campher,22,18,2,1,122.22
Oman vs Ireland,Oman,5,Zeeshan Maqsood,https://www.espncricinfo.com//player/zeeshan-maqsood-585083,c Delany b Simi Singh,7,9,1,0,77.77
Oman vs Ireland,Oman,6,Khawar Ali,https://www.espncricinfo.com//player/khawar-ali-585081,c †Tucker b Simi Singh,8,10,0,0,80.00
Oman vs Ireland,Oman,7,Khurram Nawaz,https://www.espncricinfo.com//player/khurram-nawaz-1077309,c Dockrell b Simi Singh,2,8,0,0,25.00
Oman vs Ireland,Oman,8,Naseem Khushi,https://www.espncricinfo.com//player/naseem-khushi-1077310,c sub (HT Tector) b Adair,24,14,2,1,171.42
Oman vs Ireland,Oman,9,Fayyaz Butt,https://www.espncricinfo.com//player/fayyaz-butt-436749,run out (Balbirnie/Adair),1,5,0,0,20.00
Oman vs Ireland,Oman,10,Kaleemullah,https://www.espncricinfo.com//player/kaleemullah-1077307,not out ,8,4,0,1,200.00
Oman vs Ireland,Oman,11,Bilal Khan,https://www.espncricinfo.com//player/bilal-khan-937953,c Balbirnie b Adair,0,1,0,0,0.00
Oman vs Ireland,Ireland,1,Paul Stirling,https://www.espncricinfo.com//player/paul-stirling-303427,st †Naseem Khushi b Khawar Ali,51,42,3,3,121.42
Oman vs Ireland,Ireland,2,Andy Balbirnie,https://www.espncricinfo.com//player/andy-balbirnie-303423,not out ,75,49,7,3,153.06
Oman vs Ireland,Ireland,3,Gareth Delany,https://www.espncricinfo.com//player/gareth-delany-1099379,not out ,12,12,0,0,100.00
United Arab Emirates vs Ireland,United Arab Emirates,1,Chirag Suri,https://www.espncricinfo.com//player/chirag-suri-534734,c Getkate b Young,13,14,3,0,92.85
United Arab Emirates vs Ireland,United Arab Emirates,2,Muhammad Waseem,https://www.espncricinfo.com//player/muhammad-waseem-1241277,c Balbirnie b Little,12,8,3,0,150.00
United Arab Emirates vs Ireland,United Arab Emirates,3,Vriitya Aravind,https://www.espncricinfo.com//player/vriitya-aravind-1178586, b Young,50,36,3,2,138.88
United Arab Emirates vs Ireland,United Arab Emirates,4,Rohan Mustafa,https://www.espncricinfo.com//player/rohan-mustafa-307808, b Young,54,43,6,1,125.58
United Arab Emirates vs Ireland,United Arab Emirates,5,Basil Hameed,https://www.espncricinfo.com//player/basil-hameed-1209110,c Adair b Young,3,3,0,0,100.00
United Arab Emirates vs Ireland,United Arab Emirates,6,Kashif Daud,https://www.espncricinfo.com//player/kashif-daud-229225,not out ,28,11,3,2,254.54
United Arab Emirates vs Ireland,United Arab Emirates,7,Mohammad Boota,https://www.espncricinfo.com//player/mohammad-boota-1125867,not out ,6,5,0,0,120.00
United Arab Emirates vs Ireland,Ireland,1,Paul Stirling,https://www.espncricinfo.com//player/paul-stirling-303427,run out (Aravind),1,2,0,0,50.00
United Arab Emirates vs Ireland,Ireland,2,Andy Balbirnie,https://www.espncricinfo.com//player/andy-balbirnie-303423,c Rohan Mustafa b Meiyappan,42,27,2,3,155.55
United Arab Emirates vs Ireland,Ireland,3,Gareth Delany,https://www.espncricinfo.com//player/gareth-delany-1099379, b Rohan Mustafa,40,20,5,2,200.00
United Arab Emirates vs Ireland,Ireland,4,Curtis Campher,https://www.espncricinfo.com//player/curtis-campher-595921,run out (†Mohammad Boota/Zahoor Khan),40,39,2,0,102.56
United Arab Emirates vs Ireland,Ireland,5,Shane Getkate,https://www.espncricinfo.com//player/shane-getkate-303508,c Ahmed Raza b Meiyappan,10,7,0,1,142.85
United Arab Emirates vs Ireland,Ireland,6,Lorcan Tucker,https://www.espncricinfo.com//player/lorcan-tucker-928057,run out (Rohan Mustafa/†Mohammad Boota),22,16,0,1,137.50
United Arab Emirates vs Ireland,Ireland,7,George Dockrell,https://www.espncricinfo.com//player/george-dockrell-348034,c Ahmed Raza b Zahoor Khan,1,2,0,0,50.00
United Arab Emirates vs Ireland,Ireland,8,Mark Adair,https://www.espncricinfo.com//player/mark-adair-526441,not out ,4,7,0,0,57.14
United Arab Emirates vs Ireland,Ireland,9,Simi Singh,https://www.espncricinfo.com//player/simi-singh-1005257,not out ,0,1,0,0,0.00
Australia vs Sri Lanka,Australia,1,Ben McDermott,https://www.espncricinfo.com//player/ben-mcdermott-603410,c de Silva b Thushara,18,15,3,0,120.00
Australia vs Sri Lanka,Australia,2,Aaron Finch,https://www.espncricinfo.com//player/aaron-finch-5334,st †Chandimal b de Silva,25,20,3,0,125.00
Australia vs Sri Lanka,Australia,3,Josh Inglis,https://www.espncricinfo.com//player/josh-inglis-662235,c Shanaka b de Silva,48,32,5,0,150.00
Australia vs Sri Lanka,Australia,4,Glenn Maxwell,https://www.espncricinfo.com//player/glenn-maxwell-325026,c †Chandimal b Theekshana,15,12,2,0,125.00
Australia vs Sri Lanka,Australia,5,Steven Smith,https://www.espncricinfo.com//player/steven-smith-267192,c Gunathilaka b Chameera,14,15,1,0,93.33
Australia vs Sri Lanka,Australia,6,Marcus Stoinis,https://www.espncricinfo.com//player/marcus-stoinis-325012,c Theekshana b Chameera,19,18,3,0,105.55
Australia vs Sri Lanka,Australia,7,Matthew Wade,https://www.espncricinfo.com//player/matthew-wade-230193,not out ,13,4,1,1,325.00
Australia vs Sri Lanka,Australia,8,Pat Cummins,https://www.espncricinfo.com//player/pat-cummins-489889,not out ,6,4,0,0,150.00
Australia vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,https://www.espncricinfo.com//player/pathum-nissanka-1028655,c Cummins b Stoinis,73,53,7,2,137.73
Australia vs Sri Lanka,Sri Lanka,2,Danushka Gunathilaka,https://www.espncricinfo.com//player/danushka-gunathilaka-345821,c McDermott b Hazlewood,0,1,0,0,0.00
Australia vs Sri Lanka,Sri Lanka,3,Avishka Fernando,https://www.espncricinfo.com//player/avishka-fernando-784369,c Inglis b Hazlewood,5,6,1,0,83.33
Australia vs Sri Lanka,Sri Lanka,4,Charith Asalanka,https://www.espncricinfo.com//player/charith-asalanka-784367, b Cummins,0,5,0,0,0.00
Australia vs Sri Lanka,Sri Lanka,5,Dinesh Chandimal,https://www.espncricinfo.com//player/dinesh-chandimal-300628, b Zampa,19,22,1,1,86.36
Australia vs Sri Lanka,Sri Lanka,6,Dasun Shanaka,https://www.espncricinfo.com//player/dasun-shanaka-437316,run out (Smith),34,19,2,3,178.94
Australia vs Sri Lanka,Sri Lanka,7,Chamika Karunaratne,https://www.espncricinfo.com//player/chamika-karunaratne-623695,c †Wade b Richardson,0,2,0,0,0.00
Australia vs Sri Lanka,Sri Lanka,8,Wanindu Hasaranga de Silva,https://www.espncricinfo.com//player/wanindu-hasaranga-de-silva-784379,c Cummins b Hazlewood,13,9,2,0,144.44
Australia vs Sri Lanka,Sri Lanka,9,Dushmantha Chameera,https://www.espncricinfo.com//player/dushmantha-chameera-552152,not out ,4,1,1,0,400.00
Australia vs Sri Lanka,Sri Lanka,10,Maheesh Theekshana,https://www.espncricinfo.com//player/maheesh-theekshana-1138316,not out ,6,2,0,1,300.00
United Arab Emirates vs Oman,United Arab Emirates,1,Chirag Suri,https://www.espncricinfo.com//player/chirag-suri-534734,c & b Ayaan Khan,10,18,1,0,55.55
United Arab Emirates vs Oman,United Arab Emirates,2,Muhammad Waseem,https://www.espncricinfo.com//player/muhammad-waseem-1241277,c Ayaan Khan b Aamir Kaleem,84,44,3,8,190.90
United Arab Emirates vs Oman,United Arab Emirates,3,Rohan Mustafa,https://www.espncricinfo.com//player/rohan-mustafa-307808,c Shoaib Khan b Aamir Kaleem,19,20,0,0,95.00
United Arab Emirates vs Oman,United Arab Emirates,4,Basil Hameed,https://www.espncricinfo.com//player/basil-hameed-1209110,lbw b Kaleemullah,1,3,0,0,33.33
United Arab Emirates vs Oman,United Arab Emirates,5,Muhammad Usman,https://www.espncricinfo.com//player/muhammad-usman-974719,c & b Aamir Kaleem,2,4,0,0,50.00
United Arab Emirates vs Oman,United Arab Emirates,6,Vriitya Aravind,https://www.espncricinfo.com//player/vriitya-aravind-1178586,c Prajapati b Bilal Khan,19,17,1,1,111.76
United Arab Emirates vs Oman,United Arab Emirates,7,Kashif Daud,https://www.espncricinfo.com//player/kashif-daud-229225,c Prajapati b Aamir Kaleem,13,10,0,1,130.00
United Arab Emirates vs Oman,United Arab Emirates,8,Ahmed Raza,https://www.espncricinfo.com//player/ahmed-raza-245490,c sub (N Dhamba) b Aamir Kaleem,0,2,0,0,0.00
United Arab Emirates vs Oman,United Arab Emirates,9,Junaid Siddique,https://www.espncricinfo.com//player/junaid-siddique-1203754,not out ,10,3,0,1,333.33
United Arab Emirates vs Oman,United Arab Emirates,10,Karthik Meiyappan,https://www.espncricinfo.com//player/karthik-meiyappan-1058987,not out ,0,0,0,0,-
