Team1,Team2,Winner,Margin,Ground,Date,Link
Belgium,Gibraltar,Belgium,7 wickets,Gent,"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1320969.html
Malta,Spain,Spain,6 wickets,Waterloo,"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1320970.html
Singapore,Malaysia,Singapore,4 wickets,Singapore,"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1321311.html
Denmark,Hungary,Denmark,88 runs,Gent,"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1320971.html
Israel,Portugal,Portugal,47 runs,Waterloo,"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1320972.html
Ireland,India,India,4 runs,Dublin (Malahide),"Jun 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1303308.html
Denmark,Gibraltar,Denmark,132 runs,Waterloo,"Jun 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1320974.html
Malta,Portugal,Portugal,11 runs,Gent,"Jun 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1320973.html
Singapore,Malaysia,Malaysia,23 runs,Singapore,"Jun 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1321312.html
Belgium,Hungary,Belgium,2 wickets,Waterloo,"Jun 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1320976.html
Israel,Spain,Spain,7 wickets,Gent,"Jun 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1320975.html
Singapore,Malaysia,Malaysia,5 wickets,Singapore,"Jun 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1321313.html
Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,"Jul 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1320978.html
Portugal,Spain,Spain,8 wickets,Gent,"Jul 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1320977.html
Belgium,Denmark,Belgium,12 runs,Waterloo,"Jul 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1320980.html
Israel,Malta,Malta,16 runs,Gent,"Jul 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1320979.html
Malaysia,Bhutan,Malaysia,155 runs,Bangi,"Jul 2, 2022",https://stats.espncricinfo.com/ci/engine/match/1321998.html
Belgium,Portugal,Portugal,8 wickets,Waterloo,"Jul 2, 2022",https://stats.espncricinfo.com/ci/engine/match/1320982.html
Singapore,P.N.G.,Singapore,18 runs,Singapore,"Jul 2, 2022",https://stats.espncricinfo.com/ci/engine/match/1322011.html
Denmark,Spain,Denmark,41 runs,Waterloo,"Jul 2, 2022",https://stats.espncricinfo.com/ci/engine/match/1320984.html
Maldives,Thailand,Maldives,7 wickets,Bangi,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1321999.html
Malaysia,Bhutan,Malaysia,39 runs,Bangi,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1322000.html
Hungary,Israel,Israel,12 runs,Waterloo,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1320985.html
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1322012.html
Gibraltar,Malta,Malta,7 wickets,Waterloo,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1320987.html
West Indies,Bangladesh,West Indies,35 runs,Roseau,"Jul 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1317150.html
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 4, 2022",https://stats.espncricinfo.com/ci/engine/match/1322001.html
Bhutan,Maldives,Bhutan,6 runs,Bangi,"Jul 4, 2022",https://stats.espncricinfo.com/ci/engine/match/1322002.html
Belgium,Spain,Belgium,5 wickets,Waterloo,"Jul 4, 2022",https://stats.espncricinfo.com/ci/engine/match/1320986.html
Denmark,Portugal,Denmark,9 wickets,Waterloo,"Jul 4, 2022",https://stats.espncricinfo.com/ci/engine/match/1320988.html
Bhutan,Thailand,Bhutan,6 wickets,Bangi,"Jul 6, 2022",https://stats.espncricinfo.com/ci/engine/match/1322003.html
Malaysia,Maldives,Malaysia,8 wickets,Bangi,"Jul 6, 2022",https://stats.espncricinfo.com/ci/engine/match/1322004.html
Bhutan,Maldives,Bhutan,2 runs,Bangi,"Jul 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1322005.html
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1322006.html
England,India,India,50 runs,Southampton,"Jul 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1276904.html
West Indies,Bangladesh,West Indies,5 wickets,Providence,"Jul 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1317151.html
Maldives,Thailand,Maldives,41 runs,Bangi,"Jul 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1322007.html
Austria,Luxembourg,Austria,5 wickets,Vinor,"Jul 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1321305.html
Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,"Jul 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1321306.html
Serbia,Bulgaria,Serbia,7 wickets,Belgrade,"Jul 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1323550.html
Malaysia,Maldives,Malaysia,94 runs,Bangi,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1322008.html
Bhutan,Thailand,Bhutan,28 runs,Bangi,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1322009.html
Czech Rep.,Austria,Austria,4 wickets,Vinor,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1321307.html
Serbia,Bulgaria,Serbia,8 wickets,Belgrade,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1323551.html
Austria,Luxembourg,Austria,35 runs,Vinor,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1321308.html
Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1323552.html
England,India,India,49 runs,Birmingham,"Jul 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1276905.html
Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,"Jul 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1321309.html
Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,"Jul 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1321310.html
England,India,England,17 runs,Nottingham,"Jul 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1276906.html
Malaysia,Bhutan,Malaysia,9 wickets,Bangi,"Jul 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1322010.html
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,"Jul 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1321466.html
Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,"Jul 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1321465.html
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,"Jul 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1321468.html
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,"Jul 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1321467.html
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321470.html
Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321469.html
Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321258.html
Greece,Italy,Italy,9 wickets,Vantaa,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321257.html
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321471.html
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321472.html
Finland,Sweden,Finland,12 runs,Vantaa,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321259.html
Romania,Turkey,Romania,51 runs,Kerava,"Jul 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1321260.html
Croatia,Sweden,Sweden,8 wickets,Kerava,"Jul 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1321262.html
Cyprus,Romania,Cyprus,20 runs,Vantaa,"Jul 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1321261.html
Finland,Italy,Italy,5 wickets,Kerava,"Jul 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1321264.html
Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,"Jul 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1321263.html
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,"Jul 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1321474.html
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,"Jul 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1321473.html
Jersey,Singapore,Jersey,13 runs,Bulawayo,"Jul 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1321476.html
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,"Jul 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1321475.html
Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321478.html
Jersey,Uganda,Uganda,5 runs,Bulawayo,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321477.html
Italy,Sweden,Italy,91 runs,Vantaa,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321265.html
Serbia,Turkey,Serbia,7 wickets,Kerava,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321266.html
Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321480.html
Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321479.html
Croatia,Greece,Croatia,3 runs,Vantaa,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321267.html
Isle of Man,Romania,Isle of Man,8 wickets,Kerava,"Jul 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1321268.html
Finland,Greece,Finland,37 runs,Kerava,"Jul 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1321270.html
Romania,Serbia,Romania,31 runs,Vantaa,"Jul 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1321269.html
Croatia,Italy,Italy,166 runs,Kerava,"Jul 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1321272.html
Cyprus,Turkey,Cyprus,135 runs,Vantaa,"Jul 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1321271.html
Hong Kong,Uganda,Uganda,4 runs,Bulawayo,"Jul 17, 2022",https://stats.espncricinfo.com/ci/engine/match/1321481.html
Jersey,Singapore,Jersey,6 wickets,Bulawayo,"Jul 17, 2022",https://stats.espncricinfo.com/ci/engine/match/1321482.html
